data	acc_x	acc_y	acc_z	gyro_x	gyro_y	gyro_z	mag_x	mag_y	mag_z	temp	baro
2000-01-01 00:00:07.627	   176	     0	  4108	    -6	    -4	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.647	   172	    16	  4104	    -6	    -4	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.667	   192	     0	  4078	    -5	    -5	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.686	   187	    -2	  4109	    -5	    -6	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.706	   177	     5	  4106	    -6	    -6	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.726	   189	     5	  4091	    -6	    -4	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.746	   171	    -6	  4114	    -5	    -4	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.766	   183	    16	  4074	    -5	    -5	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.786	   198	     3	  4097	    -5	    -4	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.806	   174	    -2	  4094	    -6	    -6	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.826	   180	     1	  4077	    -7	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.846	   179	     6	  4082	    -7	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.866	   168	    11	  4102	    -6	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.886	   190	    10	  4084	    -5	    -5	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.906	   154	     6	  4098	    -5	    -5	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.926	   181	     8	  4099	    -6	    -5	   -11	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.946	   192	     1	  4123	    -6	    -6	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.966	   175	     5	  4094	    -7	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.986	   196	    15	  4100	    -7	    -5	   -14	     0	     0	     0	27.46	101806.18
